Vin,Vout,Vbat,Iload,Ichg,Temp_bat,Temp_tx,mains_ok,mode_bat,fault_type
231.28,226.88,12.8,2.02,0.24,28.99,41.94,1,0,normal
224.27,223.28,13.18,1.58,1.03,25.54,38.67,1,0,normal
24.65,221.84,10.96,2.54,0.0,28.86,42.68,0,1,mains_fail
222.56,216.07,10.0,2.33,0.05,40.8,52.33,1,1,battery_low
156.79,215.85,11.06,5.81,0.0,31.84,43.43,0,1,mains_fail
235.36,207.5,12.45,11.32,0.64,50.67,63.71,1,0,overload
227.33,223.28,12.73,2.08,1.37,23.07,28.66,1,0,normal
220.95,220.05,13.06,1.61,2.03,32.17,28.48,1,0,normal
227.81,227.53,13.25,2.56,1.93,33.18,32.77,1,0,normal
239.9,227.7,13.04,2.38,0.93,30.27,47.78,1,0,normal
236.41,181.39,12.0,9.15,0.39,51.3,79.89,1,0,overload
234.84,217.85,13.15,5.95,0.98,51.4,104.87,1,0,transformer_overheat
236.75,186.77,12.61,14.37,0.3,38.54,64.74,1,0,overload
236.92,227.64,13.42,5.47,1.06,23.73,26.46,1,0,normal
57.8,224.2,11.48,6.82,0.0,28.34,46.1,0,1,mains_fail
223.82,228.52,13.55,5.65,1.2,22.91,30.8,1,0,normal
230.4,227.09,12.0,5.59,1.77,33.8,47.86,1,0,normal
227.53,189.75,12.93,9.08,0.63,49.19,56.42,1,0,overload
237.6,96.88,10.01,20.92,0.0,54.25,106.13,1,0,short_circuit
225.56,222.85,11.97,1.64,0.43,20.65,35.15,1,0,normal
226.9,224.82,12.5,5.07,1.48,33.4,44.49,1,0,normal
222.13,227.94,13.2,6.06,1.8,30.94,55.99,1,0,normal
224.23,204.97,12.75,8.41,1.47,39.88,122.04,1,0,transformer_overheat
235.54,223.72,13.41,2.21,0.11,30.11,27.98,1,0,normal
221.83,201.49,13.03,8.96,0.43,45.13,98.45,1,0,transformer_overheat
225.43,227.4,12.07,4.58,1.52,23.89,31.59,1,0,normal
223.94,202.77,13.0,9.69,1.73,60.03,113.08,1,0,transformer_overheat
225.89,223.96,13.52,7.69,1.65,46.85,98.34,1,0,transformer_overheat
236.05,227.62,12.52,5.83,0.37,29.11,49.27,1,0,normal
239.4,33.45,12.1,14.17,0.0,48.39,103.33,1,0,short_circuit
230.04,224.74,12.81,5.39,0.38,32.17,29.91,1,0,normal
231.73,201.65,10.26,7.81,0.02,45.53,45.61,1,1,battery_low
228.97,218.42,10.1,3.54,0.18,23.05,27.88,1,1,battery_low
223.8,210.81,12.64,7.02,1.51,52.61,92.29,1,0,transformer_overheat
235.39,222.49,13.32,1.72,1.19,29.52,41.96,1,0,normal
229.69,215.35,9.66,3.36,0.1,26.75,45.06,1,1,battery_low
227.02,204.14,12.71,8.65,1.45,44.17,86.75,1,0,transformer_overheat
235.01,229.21,13.26,6.36,0.33,24.92,39.49,1,0,normal
230.61,225.26,12.29,4.26,0.12,26.81,32.87,1,0,normal
228.79,227.67,12.39,4.41,0.07,26.15,34.7,1,0,charging_fault
236.43,223.59,12.84,6.1,1.09,37.82,44.14,1,0,normal
232.61,195.91,13.53,14.6,0.1,41.26,68.45,1,0,overload
224.77,227.96,13.23,1.61,1.26,26.3,47.02,1,0,normal
234.34,204.31,9.72,7.35,0.07,25.04,59.94,1,1,battery_low
226.76,227.97,13.39,2.35,0.0,23.73,28.08,1,0,normal
236.51,224.42,12.68,7.24,1.6,29.39,43.87,1,0,normal
225.05,226.69,13.71,3.54,0.74,25.76,35.74,1,0,normal
229.09,227.82,12.5,6.68,1.28,27.85,52.65,1,0,normal
230.83,221.39,13.54,5.93,0.57,26.69,27.82,1,0,normal
222.25,227.96,12.88,7.17,0.61,33.85,50.88,1,0,normal
230.72,221.71,13.01,7.9,1.14,25.76,37.6,1,0,normal
234.85,222.49,13.44,5.01,2.14,22.82,43.18,1,0,normal
239.23,229.06,13.61,2.39,1.79,19.95,25.89,1,0,normal
237.32,222.43,12.25,5.99,0.56,25.28,35.97,1,0,normal
225.2,227.79,13.27,7.49,0.34,38.38,38.44,1,0,normal
222.89,229.07,12.54,2.49,1.23,24.07,33.25,1,0,normal
228.9,213.36,13.27,6.74,0.59,49.94,114.08,1,0,transformer_overheat
234.36,221.53,13.59,6.78,1.1,36.46,43.12,1,0,normal
220.62,227.33,12.26,3.21,1.32,36.33,27.72,1,0,normal
227.65,221.03,12.42,1.17,0.8,23.86,29.82,1,0,normal
233.82,194.3,12.53,11.86,0.51,54.12,54.87,1,0,overload
237.28,55.84,12.96,15.61,0.0,66.68,84.68,1,0,short_circuit
237.67,225.66,13.22,4.77,1.5,35.23,32.34,1,0,normal
227.88,224.46,11.91,7.5,0.0,34.65,64.43,1,0,charging_fault
224.42,213.67,10.09,0.91,0.01,33.78,33.51,1,1,battery_low
31.03,225.54,11.64,2.62,0.0,30.54,43.84,0,1,mains_fail
240.13,223.98,11.61,6.25,0.07,36.2,46.22,1,0,charging_fault
230.18,228.02,12.42,6.97,1.64,24.81,41.78,1,0,normal
223.49,218.45,13.83,8.29,1.12,37.22,55.21,1,0,normal
235.91,221.24,12.95,6.99,1.53,37.83,42.98,1,0,normal
224.82,200.92,12.9,12.44,0.66,41.67,79.69,1,0,overload
230.52,226.57,12.3,1.67,0.07,36.92,31.36,1,0,charging_fault
225.26,226.52,13.48,5.8,0.46,33.41,47.29,1,0,normal
239.21,220.93,13.44,4.45,0.85,29.95,50.68,1,0,normal
102.9,216.14,10.83,5.29,0.0,23.32,39.51,0,1,mains_fail
219.89,229.55,11.75,4.78,0.07,19.69,43.21,1,0,charging_fault
226.68,216.57,9.97,5.35,0.14,37.99,24.09,1,1,battery_low
11.9,220.56,10.45,2.03,0.0,35.74,52.47,0,1,mains_fail
226.79,227.82,12.83,2.61,0.54,32.32,50.31,1,0,normal
226.46,223.11,12.17,5.16,0.08,27.64,47.64,1,0,charging_fault
233.41,47.51,10.46,18.19,0.0,69.32,93.85,1,0,short_circuit
220.3,222.2,12.8,7.1,1.95,28.04,54.73,1,0,normal
225.7,225.38,13.39,2.77,0.57,27.09,46.93,1,0,normal
228.32,226.59,12.41,3.75,1.09,22.73,26.05,1,0,normal
231.99,225.01,12.86,2.15,1.1,31.37,43.47,1,0,normal
236.55,219.74,12.51,8.11,0.63,41.95,39.41,1,0,normal
225.94,203.3,10.46,3.99,0.17,36.96,25.56,1,1,battery_low
233.9,220.86,11.92,7.93,0.27,25.5,49.03,1,0,normal
223.9,224.43,12.37,3.65,0.34,29.26,44.5,1,0,normal
234.75,229.04,10.99,3.5,0.02,43.1,54.74,1,0,charging_fault
236.52,226.0,11.23,4.99,0.06,40.44,63.63,1,0,charging_fault
236.26,201.27,10.03,4.15,0.01,30.59,25.55,1,1,battery_low
237.96,229.05,13.6,1.18,1.55,21.86,29.62,1,0,normal
226.88,224.79,12.36,6.17,0.98,30.66,54.87,1,0,normal
238.07,221.75,13.35,4.73,0.56,25.6,36.98,1,0,normal
233.02,228.7,12.13,4.13,1.51,21.5,44.39,1,0,normal
231.63,205.9,9.77,1.29,0.14,28.11,34.01,1,1,battery_low
236.52,225.93,13.43,6.8,0.52,28.06,48.74,1,0,normal
239.6,199.92,13.17,15.1,0.89,49.4,59.43,1,0,overload
81.43,211.9,11.54,0.88,0.0,22.55,51.33,0,1,mains_fail
48.69,212.98,11.94,7.61,0.0,40.02,61.66,0,1,mains_fail
227.79,214.33,10.67,2.82,0.16,33.54,30.49,1,1,battery_low
221.55,226.37,12.58,4.34,1.6,33.55,34.99,1,0,normal
50.53,222.42,10.67,5.82,0.0,22.01,52.91,0,1,mains_fail
221.63,223.14,12.79,0.25,1.08,23.5,26.77,1,0,normal
229.94,202.71,13.18,12.37,0.99,40.31,74.78,1,0,overload
220.64,222.66,12.89,0.47,0.58,24.27,35.26,1,0,normal
226.7,227.77,13.39,6.15,0.19,39.32,43.96,1,0,normal
232.08,227.02,13.11,1.1,0.74,32.56,29.48,1,0,normal
238.72,225.54,11.62,6.91,0.03,42.01,38.96,1,0,charging_fault
227.56,217.43,10.39,5.81,0.07,28.69,35.71,1,1,battery_low
236.28,226.1,13.23,3.77,1.16,28.74,37.61,1,0,normal
224.69,214.04,12.65,6.71,1.32,40.78,100.37,1,0,transformer_overheat
72.34,229.8,10.16,2.25,0.0,29.76,32.41,0,1,mains_fail
235.99,220.81,12.92,6.83,1.71,40.03,58.07,1,0,normal
237.28,227.27,12.45,4.96,1.76,21.18,47.09,1,0,normal
236.57,220.96,12.84,6.37,0.31,40.17,63.56,1,0,normal
228.35,223.44,12.87,0.23,1.21,19.57,45.16,1,0,normal
231.71,227.76,12.42,4.95,1.96,23.83,28.84,1,0,normal
237.56,223.92,13.15,4.57,0.23,21.25,42.37,1,0,normal
230.97,223.82,13.63,6.36,1.35,39.15,49.79,1,0,normal
223.44,220.42,13.61,0.73,1.88,21.99,35.9,1,0,normal
236.52,72.95,10.22,23.93,0.0,50.87,94.1,1,0,short_circuit
230.86,223.56,13.92,7.66,0.47,37.15,50.24,1,0,normal
234.59,221.81,12.22,5.25,1.81,31.36,25.75,1,0,normal
220.37,228.75,11.53,6.72,0.07,23.23,67.17,1,0,charging_fault
222.17,216.73,10.6,3.14,0.15,25.16,53.25,1,1,battery_low
232.38,207.13,9.43,6.11,0.03,37.71,46.39,1,1,battery_low
238.13,220.69,13.17,6.82,0.81,34.34,43.79,1,0,normal
224.71,209.54,12.63,6.86,1.37,55.06,120.43,1,0,transformer_overheat
97.37,216.77,11.54,4.95,0.0,32.64,25.01,0,1,mains_fail
231.98,227.35,12.78,3.72,0.53,25.18,46.53,1,0,normal
234.26,229.47,13.57,2.91,1.18,26.12,32.8,1,0,normal
226.81,225.14,11.85,3.74,0.05,31.59,32.21,1,0,charging_fault
219.06,221.02,12.28,2.01,0.24,30.44,51.56,1,0,normal
237.03,224.39,13.68,5.97,0.59,20.93,39.36,1,0,normal
232.63,216.08,10.47,1.03,0.19,30.48,41.4,1,1,battery_low
223.68,222.45,13.41,7.39,1.78,36.88,47.49,1,0,normal
224.16,224.98,12.99,4.68,0.46,20.45,38.03,1,0,normal
233.4,228.34,13.17,2.9,1.85,33.46,35.78,1,0,normal
221.43,227.86,13.28,6.55,0.63,30.65,32.07,1,0,normal
232.45,216.63,9.5,3.09,0.01,18.8,40.63,1,1,battery_low
124.14,218.54,10.91,7.84,0.0,40.88,60.14,0,1,mains_fail
228.91,226.32,13.52,5.2,1.8,28.34,43.31,1,0,normal
221.58,224.79,13.76,2.77,0.99,21.17,35.76,1,0,normal
234.84,225.45,12.32,2.17,1.05,31.96,39.66,1,0,normal
227.76,228.41,12.2,1.36,0.09,30.73,37.19,1,0,normal
234.21,225.26,13.81,7.81,1.96,37.19,39.13,1,0,normal
225.17,224.39,13.26,0.56,1.57,26.8,47.94,1,0,normal
237.46,228.74,11.15,4.64,0.05,37.01,51.54,1,0,charging_fault
231.87,226.15,13.38,5.51,0.81,25.98,48.47,1,0,normal
228.23,227.98,13.91,3.42,0.55,27.96,46.1,1,0,normal
235.82,203.35,10.14,2.57,0.06,32.09,31.96,1,1,battery_low
236.87,226.18,13.68,7.94,0.23,26.1,52.53,1,0,normal
236.37,210.42,9.7,1.87,0.08,30.28,52.91,1,1,battery_low
235.49,225.79,13.64,6.79,0.96,25.08,40.88,1,0,normal
226.46,211.04,10.64,4.65,0.22,20.2,48.83,1,1,battery_low
228.41,228.26,13.67,0.59,1.55,26.87,34.18,1,0,normal
222.39,198.11,13.11,10.16,0.87,44.06,79.86,1,0,overload
227.37,222.54,12.65,4.78,2.15,22.25,28.91,1,0,normal
132.96,223.33,11.93,6.17,0.0,40.71,48.42,0,1,mains_fail
238.8,224.68,12.51,4.0,1.37,27.59,29.16,1,0,normal
232.79,223.83,13.23,4.94,0.85,23.03,43.92,1,0,normal
233.22,205.73,10.51,4.37,0.12,24.0,34.12,1,1,battery_low
80.64,218.85,10.39,5.17,0.0,26.4,32.88,0,1,mains_fail
220.89,229.3,12.24,6.62,1.01,37.85,45.69,1,0,normal
232.68,223.54,12.17,6.04,1.82,29.52,38.79,1,0,normal
237.83,225.67,12.7,1.44,1.61,21.29,41.28,1,0,normal
221.21,229.06,12.08,3.35,1.31,32.82,41.36,1,0,normal
241.67,208.04,10.58,6.63,0.14,32.94,49.97,1,1,battery_low
228.7,224.27,12.76,5.2,0.66,33.3,39.16,1,0,normal
227.21,220.11,12.65,2.83,1.74,27.35,39.33,1,0,normal
225.77,224.33,12.63,6.12,0.14,28.01,62.89,1,0,normal
220.73,193.11,12.6,9.05,0.43,55.23,61.1,1,0,overload
233.64,227.05,12.52,1.65,2.0,29.55,47.94,1,0,normal
224.26,219.76,12.73,2.97,0.31,21.88,34.81,1,0,normal
228.39,227.87,13.6,7.44,1.19,27.37,41.04,1,0,normal
232.59,226.68,13.01,7.64,0.6,28.31,55.17,1,0,normal
227.21,227.14,12.51,3.17,0.19,32.27,31.44,1,0,normal
238.22,227.0,13.14,1.39,1.03,22.14,42.84,1,0,normal
230.26,229.12,13.51,1.19,0.75,32.82,39.31,1,0,normal
222.87,224.22,12.37,7.19,1.2,27.48,40.91,1,0,normal
225.21,220.3,12.79,1.14,0.22,23.62,27.75,1,0,normal
225.78,223.87,13.28,6.36,1.68,43.91,99.79,1,0,transformer_overheat
230.87,221.59,12.49,4.22,0.78,21.47,27.43,1,0,normal
240.23,207.78,10.15,3.67,0.08,31.56,49.42,1,1,battery_low
228.24,221.66,12.22,2.86,0.8,30.62,37.57,1,0,normal
238.19,229.01,12.28,4.43,1.78,30.16,46.71,1,0,normal
237.13,203.56,10.37,3.33,0.19,22.8,46.14,1,1,battery_low
224.07,223.21,12.47,6.54,0.17,33.52,42.71,1,0,normal
223.74,195.26,12.01,9.63,1.13,54.2,116.84,1,0,transformer_overheat
227.36,219.88,10.45,5.79,0.05,27.44,55.11,1,1,battery_low
221.87,215.44,10.61,2.7,0.03,22.85,42.73,1,1,battery_low
228.28,228.13,13.44,3.45,1.23,27.24,28.54,1,0,normal
219.91,219.7,12.47,6.23,1.25,47.91,114.69,1,0,transformer_overheat
224.79,229.61,12.95,0.36,0.82,28.92,27.39,1,0,normal
225.76,221.54,13.03,1.88,1.08,33.15,46.71,1,0,normal
222.44,15.63,11.41,20.34,0.0,58.47,96.51,1,0,short_circuit
220.2,222.82,11.16,5.62,0.01,29.62,54.46,1,0,charging_fault
238.07,220.93,11.88,5.28,1.71,23.39,38.29,1,0,normal
239.78,225.68,13.63,6.3,0.0,33.95,59.43,1,0,normal
237.48,223.14,12.7,7.62,0.15,26.49,56.54,1,0,normal
234.61,220.51,12.55,7.07,0.46,33.9,55.83,1,0,normal
219.67,222.58,12.95,6.78,0.0,37.46,61.89,1,0,normal
231.15,221.41,11.35,3.86,0.02,25.94,49.91,1,0,charging_fault
219.83,225.65,13.25,7.11,0.12,39.45,57.95,1,0,normal
224.82,228.93,12.67,5.44,0.58,27.26,28.93,1,0,normal
238.42,226.1,12.35,0.82,0.29,28.11,36.38,1,0,normal
234.34,41.43,10.62,20.65,0.0,58.75,92.6,1,0,short_circuit
221.94,214.88,13.42,7.4,0.63,46.54,90.39,1,0,transformer_overheat
229.2,216.69,13.09,7.07,0.78,47.19,92.28,1,0,transformer_overheat
229.41,226.43,13.71,7.06,0.62,36.85,44.54,1,0,normal
234.08,226.46,13.59,3.61,0.84,33.36,28.24,1,0,normal
231.43,205.31,12.78,9.59,1.18,52.93,104.55,1,0,transformer_overheat
234.05,216.24,10.25,4.14,0.1,35.08,49.54,1,1,battery_low
220.96,224.92,11.31,7.26,0.04,41.42,57.37,1,0,charging_fault
221.05,205.55,10.6,8.3,0.11,29.78,48.38,1,1,battery_low
237.25,227.08,12.01,4.34,1.85,22.08,46.05,1,0,normal
230.42,211.2,9.27,2.29,0.09,29.38,40.56,1,1,battery_low
222.66,224.93,13.52,2.73,0.0,29.56,37.5,1,0,normal
231.48,225.2,13.76,1.65,1.67,29.29,34.47,1,0,normal
231.87,226.78,13.22,2.77,0.77,25.56,41.1,1,0,normal
238.2,222.94,13.69,3.9,0.58,19.98,47.15,1,0,normal
235.11,223.39,13.13,3.04,0.93,33.82,45.3,1,0,normal
240.28,224.16,11.88,0.94,0.01,34.89,37.17,1,0,charging_fault
236.47,185.72,13.52,10.55,0.27,40.14,57.67,1,0,overload
239.4,225.72,12.39,6.77,1.03,26.19,45.02,1,0,normal
237.57,225.18,13.59,1.66,1.15,24.33,27.06,1,0,normal
232.71,221.83,13.16,6.38,0.84,30.45,51.64,1,0,normal
225.3,229.74,13.15,6.61,1.79,26.32,48.37,1,0,normal
224.55,194.96,12.15,9.52,1.48,49.48,124.52,1,0,transformer_overheat
134.71,220.31,11.37,3.24,0.0,25.86,50.23,0,1,mains_fail
238.72,228.01,12.2,0.95,0.83,22.54,35.59,1,0,normal
228.76,226.55,12.28,1.51,1.86,26.79,29.87,1,0,normal
227.01,219.46,12.19,7.03,1.32,46.31,122.37,1,0,transformer_overheat
222.38,200.81,12.7,8.01,1.31,44.14,91.11,1,0,transformer_overheat
225.44,222.3,12.37,7.28,0.4,31.3,43.06,1,0,normal
223.95,205.35,12.93,8.79,1.37,45.99,132.9,1,0,transformer_overheat
237.86,227.58,13.05,2.29,1.11,27.03,51.07,1,0,normal
220.06,222.12,11.27,2.97,0.04,19.67,41.61,1,0,charging_fault
223.82,227.95,12.83,1.22,1.57,22.96,45.38,1,0,normal
238.0,220.46,12.58,0.73,0.33,24.14,35.63,1,0,normal
228.78,226.07,13.83,0.61,1.06,33.29,35.9,1,0,normal
235.05,203.56,9.97,3.64,0.18,31.1,40.2,1,1,battery_low
237.44,224.25,12.23,5.47,0.4,26.53,35.88,1,0,normal
221.88,200.04,9.66,2.47,0.05,35.17,50.24,1,1,battery_low
237.47,229.25,12.81,2.02,1.66,22.74,34.91,1,0,normal
239.45,225.1,12.37,1.9,0.52,28.58,33.82,1,0,normal
238.81,223.99,12.13,2.02,0.26,22.12,37.43,1,0,normal
227.63,226.79,11.54,6.27,0.03,42.5,50.31,1,0,charging_fault
236.4,230.61,11.77,2.52,0.08,31.01,29.37,1,0,charging_fault
231.67,222.62,12.06,4.03,2.09,28.46,29.58,1,0,normal
235.01,215.42,12.62,5.99,1.23,44.14,89.46,1,0,transformer_overheat
228.47,226.52,12.61,5.17,0.96,22.35,41.42,1,0,normal
237.11,207.43,9.6,4.21,0.1,29.19,40.16,1,1,battery_low
236.24,227.82,12.37,5.7,0.41,28.99,25.54,1,0,normal
221.22,220.49,12.64,4.24,1.6,30.06,42.93,1,0,normal
229.75,67.77,12.36,22.11,0.0,51.11,86.01,1,0,short_circuit
231.85,220.47,12.1,3.07,0.73,29.08,30.08,1,0,normal
232.01,198.54,12.05,11.23,0.59,44.23,61.84,1,0,overload
221.74,224.14,12.2,3.14,1.66,27.87,36.64,1,0,normal
224.78,197.56,12.53,8.3,0.55,50.17,133.54,1,0,transformer_overheat
